FileName_OrigER,PathName_OrigER,FileName_OrigRNA,PathName_OrigRNA,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_ChannelID,Metadata_Col,Metadata_FieldID,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_Reimaged
r02c01f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,r02c01f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,r02c01f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,r02c01f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,r02c01f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,r02c01f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 All Cell Lines/BR00145816__2024-12-06T16_10_14-Measurement 1/Images,BR00145816,B01,1,0.134594694,5,1,1,1,0.0,0.0,-6e-06,2,False
r02c01f02p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f02p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f02p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f02p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f02p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f02p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,2,0.134611502,6,1,2,1,-0.000645814,0.000645814,-4e-06,2,True
r02c01f03p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f03p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f03p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f03p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f03p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f03p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,3,0.134610504,6,1,3,1,0.0,0.000645814,-4e-06,2,True
r02c01f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,4,0.134609506,6,1,4,1,0.000645814,0.000645814,-4e-06,2,True
r02c01f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,5,0.134608299,6,1,5,1,0.000645814,0.0,-4e-06,2,True
r02c01f06p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f06p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f06p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f06p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f06p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f06p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,6,0.134610295,6,1,6,1,-0.000645814,0.0,-4e-06,2,True
r02c01f07p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f07p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f07p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f07p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f07p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f07p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,7,0.134609401,6,1,7,1,-0.000645814,-0.000645814,-4e-06,2,True
r02c01f08p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f08p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f08p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f08p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f08p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f08p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,8,0.134608105,6,1,8,1,0.0,-0.000645814,-4e-06,2,True
r02c01f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r02c01f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,B01,9,0.134607196,6,1,9,1,0.000645814,-0.000645814,-4e-06,2,True
r03c01f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r03c01f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r03c01f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r03c01f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r03c01f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,r03c01f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_2_data/Plate 4 CHLA-10 Reimage/BR00145816__2024-12-06T17_56_31-Measurement 2/Images,BR00145816,C01,1,0.134607196,6,1,1,1,0.0,0.0,-4e-06,3,True
