cell_line,row,column,well,seeding_density,condition
CHLA-186,C,3,C03,1000,synthemax_PFA
CHLA-186,C,4,C04,1000,synthemax_PFA
CHLA-186,C,5,C05,2000,synthemax_PFA
CHLA-186,C,6,C06,2000,synthemax_PFA
CHLA-186,C,7,C07,4000,synthemax_PFA
CHLA-186,C,8,C08,4000,synthemax_PFA
CHLA-186,C,9,C09,8000,synthemax_PFA
CHLA-186,C,10,C10,8000,synthemax_PFA
CHLA-186,C,11,C11,12000,synthemax_PFA
CHLA-186,C,12,C12,12000,synthemax_PFA
CHLA-194,C,13,C13,1000,synthemax_PFA
CHLA-194,C,14,C14,1000,synthemax_PFA
CHLA-194,C,15,C15,2000,synthemax_PFA
CHLA-194,C,16,C16,2000,synthemax_PFA
CHLA-194,C,17,C17,4000,synthemax_PFA
CHLA-194,C,18,C18,4000,synthemax_PFA
CHLA-194,C,19,C19,8000,synthemax_PFA
CHLA-194,C,20,C20,8000,synthemax_PFA
CHLA-194,C,21,C21,12000,synthemax_PFA
CHLA-194,C,22,C22,12000,synthemax_PFA
CHLA-186,D,3,D03,1000,synthemax_PFA
CHLA-186,D,4,D04,1000,synthemax_PFA
CHLA-186,D,5,D05,2000,synthemax_PFA
CHLA-186,D,6,D06,2000,synthemax_PFA
CHLA-186,D,7,D07,4000,synthemax_PFA
CHLA-186,D,8,D08,4000,synthemax_PFA
CHLA-186,D,9,D09,8000,synthemax_PFA
CHLA-186,D,10,D10,8000,synthemax_PFA
CHLA-186,D,11,D11,12000,synthemax_PFA
CHLA-186,D,12,D12,12000,synthemax_PFA
CHLA-194,D,13,D13,1000,synthemax_PFA
CHLA-194,D,14,D14,1000,synthemax_PFA
CHLA-194,D,15,D15,2000,synthemax_PFA
CHLA-194,D,16,D16,2000,synthemax_PFA
CHLA-194,D,17,D17,4000,synthemax_PFA
CHLA-194,D,18,D18,4000,synthemax_PFA
CHLA-194,D,19,D19,8000,synthemax_PFA
CHLA-194,D,20,D20,8000,synthemax_PFA
CHLA-194,D,21,D21,12000,synthemax_PFA
CHLA-194,D,22,D22,12000,synthemax_PFA
COG-EP-280,E,3,E03,1000,synthemax_PFA
COG-EP-280,E,4,E04,1000,synthemax_PFA
COG-EP-280,E,5,E05,2000,synthemax_PFA
COG-EP-280,E,6,E06,2000,synthemax_PFA
COG-EP-280,E,7,E07,4000,synthemax_PFA
COG-EP-280,E,8,E08,4000,synthemax_PFA
COG-EP-280,E,9,E09,8000,synthemax_PFA
COG-EP-280,E,10,E10,8000,synthemax_PFA
COG-EP-280,E,11,E11,12000,synthemax_PFA
COG-EP-280,E,12,E12,12000,synthemax_PFA
COG-AR-397hnb,E,13,E13,1000,synthemax_PFA
COG-AR-397hnb,E,14,E14,1000,synthemax_PFA
COG-AR-397hnb,E,15,E15,2000,synthemax_PFA
COG-AR-397hnb,E,16,E16,2000,synthemax_PFA
COG-AR-397hnb,E,17,E17,4000,synthemax_PFA
COG-AR-397hnb,E,18,E18,4000,synthemax_PFA
COG-AR-397hnb,E,19,E19,8000,synthemax_PFA
COG-AR-397hnb,E,20,E20,8000,synthemax_PFA
COG-AR-397hnb,E,21,E21,12000,synthemax_PFA
COG-AR-397hnb,E,22,E22,12000,synthemax_PFA
COG-EP-280,F,3,F03,1000,synthemax_PFA
COG-EP-280,F,4,F04,1000,synthemax_PFA
COG-EP-280,F,5,F05,2000,synthemax_PFA
COG-EP-280,F,6,F06,2000,synthemax_PFA
COG-EP-280,F,7,F07,4000,synthemax_PFA
COG-EP-280,F,8,F08,4000,synthemax_PFA
COG-EP-280,F,9,F09,8000,synthemax_PFA
COG-EP-280,F,10,F10,8000,synthemax_PFA
COG-EP-280,F,11,F11,12000,synthemax_PFA
COG-EP-280,F,12,F12,12000,synthemax_PFA
COG-AR-397hnb,F,13,F13,1000,synthemax_PFA
COG-AR-397hnb,F,14,F14,1000,synthemax_PFA
COG-AR-397hnb,F,15,F15,2000,synthemax_PFA
COG-AR-397hnb,F,16,F16,2000,synthemax_PFA
COG-AR-397hnb,F,17,F17,4000,synthemax_PFA
COG-AR-397hnb,F,18,F18,4000,synthemax_PFA
COG-AR-397hnb,F,19,F19,8000,synthemax_PFA
COG-AR-397hnb,F,20,F20,8000,synthemax_PFA
COG-AR-397hnb,F,21,F21,12000,synthemax_PFA
COG-AR-397hnb,F,22,F22,12000,synthemax_PFA
CHLA-10,G,3,G03,1000,synthemax_PFA
CHLA-10,G,4,G04,1000,synthemax_PFA
CHLA-10,G,5,G05,2000,synthemax_PFA
CHLA-10,G,6,G06,2000,synthemax_PFA
CHLA-10,G,7,G07,4000,synthemax_PFA
CHLA-10,G,8,G08,4000,synthemax_PFA
CHLA-10,G,9,G09,8000,synthemax_PFA
CHLA-10,G,10,G10,8000,synthemax_PFA
CHLA-10,G,11,G11,12000,synthemax_PFA
CHLA-10,G,12,G12,12000,synthemax_PFA
COG-E-352,G,13,G13,1000,synthemax_PFA
COG-E-352,G,14,G14,1000,synthemax_PFA
COG-E-352,G,15,G15,2000,synthemax_PFA
COG-E-352,G,16,G16,2000,synthemax_PFA
COG-E-352,G,17,G17,4000,synthemax_PFA
COG-E-352,G,18,G18,4000,synthemax_PFA
COG-E-352,G,19,G19,8000,synthemax_PFA
COG-E-352,G,20,G20,8000,synthemax_PFA
COG-E-352,G,21,G21,12000,synthemax_PFA
COG-E-352,G,22,G22,12000,synthemax_PFA
CHLA-10,H,3,H03,1000,synthemax_PFA
CHLA-10,H,4,H04,1000,synthemax_PFA
CHLA-10,H,5,H05,2000,synthemax_PFA
CHLA-10,H,6,H06,2000,synthemax_PFA
CHLA-10,H,7,H07,4000,synthemax_PFA
CHLA-10,H,8,H08,4000,synthemax_PFA
CHLA-10,H,9,H09,8000,synthemax_PFA
CHLA-10,H,10,H10,8000,synthemax_PFA
CHLA-10,H,11,H11,12000,synthemax_PFA
CHLA-10,H,12,H12,12000,synthemax_PFA
COG-E-352,H,13,H13,1000,synthemax_PFA
COG-E-352,H,14,H14,1000,synthemax_PFA
COG-E-352,H,15,H15,2000,synthemax_PFA
COG-E-352,H,16,H16,2000,synthemax_PFA
COG-E-352,H,17,H17,4000,synthemax_PFA
COG-E-352,H,18,H18,4000,synthemax_PFA
COG-E-352,H,19,H19,8000,synthemax_PFA
COG-E-352,H,20,H20,8000,synthemax_PFA
COG-E-352,H,21,H21,12000,synthemax_PFA
COG-E-352,H,22,H22,12000,synthemax_PFA
CHLA-113,I,3,I03,1000,synthemax_PFA
CHLA-113,I,4,I04,1000,synthemax_PFA
CHLA-113,I,5,I05,2000,synthemax_PFA
CHLA-113,I,6,I06,2000,synthemax_PFA
CHLA-113,I,7,I07,4000,synthemax_PFA
CHLA-113,I,8,I08,4000,synthemax_PFA
CHLA-113,I,9,I09,8000,synthemax_PFA
CHLA-113,I,10,I10,8000,synthemax_PFA
CHLA-113,I,11,I11,12000,synthemax_PFA
CHLA-113,I,12,I12,12000,synthemax_PFA
COG-R-466h,I,13,I13,1000,synthemax_PFA
COG-R-466h,I,14,I14,1000,synthemax_PFA
COG-R-466h,I,15,I15,2000,synthemax_PFA
COG-R-466h,I,16,I16,2000,synthemax_PFA
COG-R-466h,I,17,I17,4000,synthemax_PFA
COG-R-466h,I,18,I18,4000,synthemax_PFA
COG-R-466h,I,19,I19,8000,synthemax_PFA
COG-R-466h,I,20,I20,8000,synthemax_PFA
COG-R-466h,I,21,I21,12000,synthemax_PFA
COG-R-466h,I,22,I22,12000,synthemax_PFA
CHLA-113,J,3,J03,1000,synthemax_PFA
CHLA-113,J,4,J04,1000,synthemax_PFA
CHLA-113,J,5,J05,2000,synthemax_PFA
CHLA-113,J,6,J06,2000,synthemax_PFA
CHLA-113,J,7,J07,4000,synthemax_PFA
CHLA-113,J,8,J08,4000,synthemax_PFA
CHLA-113,J,9,J09,8000,synthemax_PFA
CHLA-113,J,10,J10,8000,synthemax_PFA
CHLA-113,J,11,J11,12000,synthemax_PFA
CHLA-113,J,12,J12,12000,synthemax_PFA
COG-R-466h,J,13,J13,1000,synthemax_PFA
COG-R-466h,J,14,J14,1000,synthemax_PFA
COG-R-466h,J,15,J15,2000,synthemax_PFA
COG-R-466h,J,16,J16,2000,synthemax_PFA
COG-R-466h,J,17,J17,4000,synthemax_PFA
COG-R-466h,J,18,J18,4000,synthemax_PFA
COG-R-466h,J,19,J19,8000,synthemax_PFA
COG-R-466h,J,20,J20,8000,synthemax_PFA
COG-R-466h,J,21,J21,12000,synthemax_PFA
COG-R-466h,J,22,J22,12000,synthemax_PFA
CHLA-25,K,3,K03,1000,synthemax_PFA
CHLA-25,K,4,K04,1000,synthemax_PFA
