cell_line,row,column,well,seeding_density,condition
CHLA-10,B,3,B03,1000,synthemax_PFA
CHLA-10,C,3,C03,1000,synthemax_PFA
CHLA-25,D,3,D03,1000,synthemax_PFA
CHLA-25,E,3,E03,1000,synthemax_PFA
CHLA-113,F,3,F03,1000,synthemax_PFA
CHLA-113,G,3,G03,1000,synthemax_PFA
CHLA-218,H,3,H03,1000,synthemax_PFA
CHLA-218,I,3,I03,1000,synthemax_PFA
U2-OS,J,3,J03,1000,synthemax_PFA
U2-OS,K,3,K03,1000,synthemax_PFA
CHLA-10,B,4,B04,1000,synthemax_PFA
CHLA-10,C,4,C04,1000,synthemax_PFA
CHLA-25,D,4,D04,1000,synthemax_PFA
CHLA-25,E,4,E04,1000,synthemax_PFA
CHLA-113,F,4,F04,1000,synthemax_PFA
CHLA-113,G,4,G04,1000,synthemax_PFA
CHLA-218,H,4,H04,1000,synthemax_PFA
CHLA-218,I,4,I04,1000,synthemax_PFA
U2-OS,J,4,J04,1000,synthemax_PFA
U2-OS,K,4,K04,1000,synthemax_PFA
CHLA-10,B,5,B05,2000,synthemax_PFA
CHLA-10,C,5,C05,2000,synthemax_PFA
CHLA-25,D,5,D05,2000,synthemax_PFA
CHLA-25,E,5,E05,2000,synthemax_PFA
CHLA-113,F,5,F05,2000,synthemax_PFA
CHLA-113,G,5,G05,2000,synthemax_PFA
CHLA-218,H,5,H05,2000,synthemax_PFA
CHLA-218,I,5,I05,2000,synthemax_PFA
U2-OS,J,5,J05,2000,synthemax_PFA
U2-OS,K,5,K05,2000,synthemax_PFA
CHLA-10,B,6,B06,2000,synthemax_PFA
CHLA-10,C,6,C06,2000,synthemax_PFA
CHLA-25,D,6,D06,2000,synthemax_PFA
CHLA-25,E,6,E06,2000,synthemax_PFA
CHLA-113,F,6,F06,2000,synthemax_PFA
CHLA-113,G,6,G06,2000,synthemax_PFA
CHLA-218,H,6,H06,2000,synthemax_PFA
CHLA-218,I,6,I06,2000,synthemax_PFA
U2-OS,J,6,J06,2000,synthemax_PFA
U2-OS,K,6,K06,2000,synthemax_PFA
CHLA-10,B,7,B07,4000,synthemax_PFA
CHLA-10,C,7,C07,4000,synthemax_PFA
CHLA-25,D,7,D07,4000,synthemax_PFA
CHLA-25,E,7,E07,4000,synthemax_PFA
CHLA-113,F,7,F07,4000,synthemax_PFA
CHLA-113,G,7,G07,4000,synthemax_PFA
CHLA-218,H,7,H07,4000,synthemax_PFA
CHLA-218,I,7,I07,4000,synthemax_PFA
U2-OS,J,7,J07,4000,synthemax_PFA
U2-OS,K,7,K07,4000,synthemax_PFA
CHLA-10,B,8,B08,4000,synthemax_PFA
CHLA-10,C,8,C08,4000,synthemax_PFA
CHLA-25,D,8,D08,4000,synthemax_PFA
CHLA-25,E,8,E08,4000,synthemax_PFA
CHLA-113,F,8,F08,4000,synthemax_PFA
CHLA-113,G,8,G08,4000,synthemax_PFA
CHLA-218,H,8,H08,4000,synthemax_PFA
CHLA-218,I,8,I08,4000,synthemax_PFA
U2-OS,J,8,J08,4000,synthemax_PFA
U2-OS,K,8,K08,4000,synthemax_PFA
CHLA-10,B,9,B09,8000,synthemax_PFA
CHLA-10,C,9,C09,8000,synthemax_PFA
CHLA-25,D,9,D09,8000,synthemax_PFA
CHLA-25,E,9,E09,8000,synthemax_PFA
CHLA-113,F,9,F09,8000,synthemax_PFA
CHLA-113,G,9,G09,8000,synthemax_PFA
CHLA-218,H,9,H09,8000,synthemax_PFA
CHLA-218,I,9,I09,8000,synthemax_PFA
U2-OS,J,9,J09,8000,synthemax_PFA
U2-OS,K,9,K09,8000,synthemax_PFA
CHLA-10,B,10,B10,8000,synthemax_PFA
CHLA-10,C,10,C10,8000,synthemax_PFA
CHLA-25,D,10,D10,8000,synthemax_PFA
CHLA-25,E,10,E10,8000,synthemax_PFA
CHLA-113,F,10,F10,8000,synthemax_PFA
CHLA-113,G,10,G10,8000,synthemax_PFA
CHLA-218,H,10,H10,8000,synthemax_PFA
CHLA-218,I,10,I10,8000,synthemax_PFA
U2-OS,J,10,J10,8000,synthemax_PFA
U2-OS,K,10,K10,8000,synthemax_PFA
CHLA-10,B,11,B11,12000,synthemax_PFA
CHLA-10,C,11,C11,12000,synthemax_PFA
CHLA-25,D,11,D11,12000,synthemax_PFA
CHLA-25,E,11,E11,12000,synthemax_PFA
CHLA-113,F,11,F11,12000,synthemax_PFA
CHLA-113,G,11,G11,12000,synthemax_PFA
CHLA-218,H,11,H11,12000,synthemax_PFA
CHLA-218,I,11,I11,12000,synthemax_PFA
U2-OS,J,11,J11,12000,synthemax_PFA
U2-OS,K,11,K11,12000,synthemax_PFA
CHLA-10,B,12,B12,12000,synthemax_PFA
CHLA-10,C,12,C12,12000,synthemax_PFA
CHLA-25,D,12,D12,12000,synthemax_PFA
CHLA-25,E,12,E12,12000,synthemax_PFA
CHLA-113,F,12,F12,12000,synthemax_PFA
CHLA-113,G,12,G12,12000,synthemax_PFA
CHLA-218,H,12,H12,12000,synthemax_PFA
CHLA-218,I,12,I12,12000,synthemax_PFA
U2-OS,J,12,J12,12000,synthemax_PFA
U2-OS,K,12,K12,12000,synthemax_PFA
