cell_line,row,column,well,seeding_density,condition
PBT-05FH-TC,C,3,C03,1000,laminin_PFA
PBT-05FH-TC,C,4,C04,1000,laminin_PFA
PBT-05FH-TC,C,5,C05,2000,laminin_PFA
PBT-05FH-TC,C,6,C06,2000,laminin_PFA
PBT-05FH-TC,C,7,C07,4000,laminin_PFA
PBT-05FH-TC,C,8,C08,4000,laminin_PFA
PBT-05FH-TC,C,9,C09,8000,laminin_PFA
PBT-05FH-TC,C,10,C10,8000,laminin_PFA
PBT-05FH-TC,C,11,C11,12000,laminin_PFA
PBT-05FH-TC,C,12,C12,12000,laminin_PFA
PBT-05FH-TC,D,3,D03,1000,laminin_PFA
PBT-05FH-TC,D,4,D04,1000,laminin_PFA
PBT-05FH-TC,D,5,D05,2000,laminin_PFA
PBT-05FH-TC,D,6,D06,2000,laminin_PFA
PBT-05FH-TC,D,7,D07,4000,laminin_PFA
PBT-05FH-TC,D,8,D08,4000,laminin_PFA
PBT-05FH-TC,D,9,D09,8000,laminin_PFA
PBT-05FH-TC,D,10,D10,8000,laminin_PFA
PBT-05FH-TC,D,11,D11,12000,laminin_PFA
PBT-05FH-TC,D,12,D12,12000,laminin_PFA
ATRT-310,E,3,E03,1000,laminin_PFA
ATRT-310,E,4,E04,1000,laminin_PFA
ATRT-310,E,5,E05,2000,laminin_PFA
ATRT-310,E,6,E06,2000,laminin_PFA
ATRT-310,E,7,E07,4000,laminin_PFA
ATRT-310,E,8,E08,4000,laminin_PFA
ATRT-310,E,9,E09,8000,laminin_PFA
ATRT-310,E,10,E10,8000,laminin_PFA
ATRT-310,E,11,E11,12000,laminin_PFA
ATRT-310,E,12,E12,12000,laminin_PFA
ATRT-310,F,3,F03,1000,laminin_PFA
ATRT-310,F,4,F04,1000,laminin_PFA
ATRT-310,F,5,F05,2000,laminin_PFA
ATRT-310,F,6,F06,2000,laminin_PFA
ATRT-310,F,7,F07,4000,laminin_PFA
ATRT-310,F,8,F08,4000,laminin_PFA
ATRT-310,F,9,F09,8000,laminin_PFA
ATRT-310,F,10,F10,8000,laminin_PFA
ATRT-310,F,11,F11,12000,laminin_PFA
ATRT-310,F,12,F12,12000,laminin_PFA
U2-OS,G,3,G03,1000,laminin_PFA
U2-OS,G,4,G04,1000,laminin_PFA
U2-OS,G,5,G05,2000,laminin_PFA
U2-OS,G,6,G06,2000,laminin_PFA
U2-OS,G,7,G07,4000,laminin_PFA
U2-OS,G,8,G08,4000,laminin_PFA
U2-OS,G,9,G09,8000,laminin_PFA
U2-OS,G,10,G10,8000,laminin_PFA
U2-OS,G,11,G11,12000,laminin_PFA
U2-OS,G,12,G12,12000,laminin_PFA
U2-OS,H,3,H03,1000,laminin_PFA
U2-OS,H,4,H04,1000,laminin_PFA
U2-OS,H,5,H05,2000,laminin_PFA
U2-OS,H,6,H06,2000,laminin_PFA
U2-OS,H,7,H07,4000,laminin_PFA
U2-OS,H,8,H08,4000,laminin_PFA
U2-OS,H,9,H09,8000,laminin_PFA
U2-OS,H,10,H10,8000,laminin_PFA
U2-OS,H,11,H11,12000,laminin_PFA
U2-OS,H,12,H12,12000,laminin_PFA
