cell_line,row,column,well,seeding_density,condition
RH-41,G,3,G03,1000,synthemax
RH-41,G,4,G04,1000,synthemax
RH-41,G,5,G05,2000,synthemax
RH-41,G,6,G06,2000,synthemax
RH-41,G,7,G07,4000,synthemax
RH-41,G,8,G08,4000,synthemax
RH-41,G,9,G09,8000,synthemax
RH-41,G,10,G10,8000,synthemax
RH-41,G,11,G11,12000,synthemax
RH-41,G,12,G12,12000,synthemax
CHLA-196,G,13,G13,1000,synthemax
CHLA-196,G,14,G14,1000,synthemax
CHLA-196,G,15,G15,2000,synthemax
CHLA-196,G,16,G16,2000,synthemax
CHLA-196,G,17,G17,4000,synthemax
CHLA-196,G,18,G18,4000,synthemax
CHLA-196,G,19,G19,8000,synthemax
CHLA-196,G,20,G20,8000,synthemax
CHLA-196,G,21,G21,12000,synthemax
CHLA-196,G,22,G22,12000,synthemax
RH-41,H,3,H03,1000,synthemax
RH-41,H,4,H04,1000,synthemax
RH-41,H,5,H05,2000,synthemax
RH-41,H,6,H06,2000,synthemax
RH-41,H,7,H07,4000,synthemax
RH-41,H,8,H08,4000,synthemax
RH-41,H,9,H09,8000,synthemax
RH-41,H,10,H10,8000,synthemax
RH-41,H,11,H11,12000,synthemax
RH-41,H,12,H12,12000,synthemax
CHLA-196,H,13,H13,1000,synthemax
CHLA-196,H,14,H14,1000,synthemax
CHLA-196,H,15,H15,2000,synthemax
CHLA-196,H,16,H16,2000,synthemax
CHLA-196,H,17,H17,4000,synthemax
CHLA-196,H,18,H18,4000,synthemax
CHLA-196,H,19,H19,8000,synthemax
CHLA-196,H,20,H20,8000,synthemax
CHLA-196,H,21,H21,12000,synthemax
CHLA-196,H,22,H22,12000,synthemax
RH-4,I,3,I03,1000,synthemax
RH-4,I,4,I04,1000,synthemax
RH-4,I,5,I05,2000,synthemax
RH-4,I,6,I06,2000,synthemax
RH-4,I,7,I07,4000,synthemax
RH-4,I,8,I08,4000,synthemax
RH-4,I,9,I09,8000,synthemax
RH-4,I,10,I10,8000,synthemax
RH-4,I,11,I11,12000,synthemax
RH-4,I,12,I12,12000,synthemax
COG-E-352,I,13,I13,1000,synthemax
COG-E-352,I,14,I14,1000,synthemax
COG-E-352,I,15,I15,2000,synthemax
COG-E-352,I,16,I16,2000,synthemax
COG-E-352,I,17,I17,4000,synthemax
COG-E-352,I,18,I18,4000,synthemax
COG-E-352,I,19,I19,8000,synthemax
COG-E-352,I,20,I20,8000,synthemax
COG-E-352,I,21,I21,12000,synthemax
COG-E-352,I,22,I22,12000,synthemax
RH-4,J,3,J03,1000,synthemax
RH-4,J,4,J04,1000,synthemax
RH-4,J,5,J05,2000,synthemax
RH-4,J,6,J06,2000,synthemax
