cell_line,row,column,well,seeding_density,condition
TC-71,C,3,C03,1000,synthemax_PFA
TC-71,C,4,C04,1000,synthemax_PFA
TC-71,C,5,C05,2000,synthemax_PFA
TC-71,C,6,C06,2000,synthemax_PFA
TC-71,C,7,C07,4000,synthemax_PFA
TC-71,C,8,C08,4000,synthemax_PFA
TC-71,C,9,C09,8000,synthemax_PFA
TC-71,C,10,C10,8000,synthemax_PFA
TC-71,C,11,C11,12000,synthemax_PFA
TC-71,C,12,C12,12000,synthemax_PFA
CHLA-258,C,13,C13,1000,synthemax_PFA
CHLA-258,C,14,C14,1000,synthemax_PFA
CHLA-258,C,15,C15,2000,synthemax_PFA
CHLA-258,C,16,C16,2000,synthemax_PFA
CHLA-258,C,17,C17,4000,synthemax_PFA
CHLA-258,C,18,C18,4000,synthemax_PFA
CHLA-258,C,19,C19,8000,synthemax_PFA
CHLA-258,C,20,C20,8000,synthemax_PFA
CHLA-258,C,21,C21,12000,synthemax_PFA
CHLA-258,C,22,C22,12000,synthemax_PFA
TC-71,D,3,D03,1000,synthemax_PFA
TC-71,D,4,D04,1000,synthemax_PFA
TC-71,D,5,D05,2000,synthemax_PFA
TC-71,D,6,D06,2000,synthemax_PFA
TC-71,D,7,D07,4000,synthemax_PFA
TC-71,D,8,D08,4000,synthemax_PFA
TC-71,D,9,D09,8000,synthemax_PFA
TC-71,D,10,D10,8000,synthemax_PFA
TC-71,D,11,D11,12000,synthemax_PFA
TC-71,D,12,D12,12000,synthemax_PFA
CHLA-258,D,13,D13,1000,synthemax_PFA
CHLA-258,D,14,D14,1000,synthemax_PFA
CHLA-258,D,15,D15,2000,synthemax_PFA
CHLA-258,D,16,D16,2000,synthemax_PFA
CHLA-258,D,17,D17,4000,synthemax_PFA
CHLA-258,D,18,D18,4000,synthemax_PFA
CHLA-258,D,19,D19,8000,synthemax_PFA
CHLA-258,D,20,D20,8000,synthemax_PFA
CHLA-258,D,21,D21,12000,synthemax_PFA
CHLA-258,D,22,D22,12000,synthemax_PFA
CHLA-262,E,3,E03,1000,synthemax_PFA
CHLA-262,E,4,E04,1000,synthemax_PFA
CHLA-262,E,5,E05,2000,synthemax_PFA
CHLA-262,E,6,E06,2000,synthemax_PFA
CHLA-262,E,7,E07,4000,synthemax_PFA
CHLA-262,E,8,E08,4000,synthemax_PFA
CHLA-262,E,9,E09,8000,synthemax_PFA
CHLA-262,E,10,E10,8000,synthemax_PFA
CHLA-262,E,11,E11,12000,synthemax_PFA
CHLA-262,E,12,E12,12000,synthemax_PFA
CHLA-186,E,13,E13,1000,synthemax_PFA
CHLA-186,E,14,E14,1000,synthemax_PFA
CHLA-186,E,15,E15,2000,synthemax_PFA
CHLA-186,E,16,E16,2000,synthemax_PFA
CHLA-186,E,17,E17,4000,synthemax_PFA
CHLA-186,E,18,E18,4000,synthemax_PFA
CHLA-186,E,19,E19,8000,synthemax_PFA
CHLA-186,E,20,E20,8000,synthemax_PFA
CHLA-186,E,21,E21,12000,synthemax_PFA
CHLA-186,E,22,E22,12000,synthemax_PFA
CHLA-262,F,3,F03,1000,synthemax_PFA
CHLA-262,F,4,F04,1000,synthemax_PFA
CHLA-262,F,5,F05,2000,synthemax_PFA
CHLA-262,F,6,F06,2000,synthemax_PFA
CHLA-262,F,7,F07,4000,synthemax_PFA
CHLA-262,F,8,F08,4000,synthemax_PFA
CHLA-262,F,9,F09,8000,synthemax_PFA
CHLA-262,F,10,F10,8000,synthemax_PFA
CHLA-262,F,11,F11,12000,synthemax_PFA
CHLA-262,F,12,F12,12000,synthemax_PFA
CHLA-186,F,13,F13,1000,synthemax_PFA
CHLA-186,F,14,F14,1000,synthemax_PFA
CHLA-186,F,15,F15,2000,synthemax_PFA
CHLA-186,F,16,F16,2000,synthemax_PFA
CHLA-186,F,17,F17,4000,synthemax_PFA
CHLA-186,F,18,F18,4000,synthemax_PFA
CHLA-186,F,19,F19,8000,synthemax_PFA
CHLA-186,F,20,F20,8000,synthemax_PFA
CHLA-186,F,21,F21,12000,synthemax_PFA
CHLA-186,F,22,F22,12000,synthemax_PFA
CHLA-194,G,3,G03,1000,synthemax_PFA
CHLA-194,G,4,G04,1000,synthemax_PFA
CHLA-194,G,5,G05,2000,synthemax_PFA
CHLA-194,G,6,G06,2000,synthemax_PFA
CHLA-194,G,7,G07,4000,synthemax_PFA
CHLA-194,G,8,G08,4000,synthemax_PFA
CHLA-194,G,9,G09,8000,synthemax_PFA
CHLA-194,G,10,G10,8000,synthemax_PFA
CHLA-194,G,11,G11,12000,synthemax_PFA
CHLA-194,G,12,G12,12000,synthemax_PFA
CHLA-196,G,13,G13,1000,synthemax_PFA
CHLA-196,G,14,G14,1000,synthemax_PFA
CHLA-196,G,15,G15,2000,synthemax_PFA
CHLA-196,G,16,G16,2000,synthemax_PFA
CHLA-196,G,17,G17,4000,synthemax_PFA
CHLA-196,G,18,G18,4000,synthemax_PFA
CHLA-196,G,19,G19,8000,synthemax_PFA
CHLA-196,G,20,G20,8000,synthemax_PFA
CHLA-196,G,21,G21,12000,synthemax_PFA
CHLA-196,G,22,G22,12000,synthemax_PFA
CHLA-194,H,3,H03,1000,synthemax_PFA
CHLA-194,H,4,H04,1000,synthemax_PFA
CHLA-194,H,5,H05,2000,synthemax_PFA
CHLA-194,H,6,H06,2000,synthemax_PFA
CHLA-194,H,7,H07,4000,synthemax_PFA
CHLA-194,H,8,H08,4000,synthemax_PFA
CHLA-194,H,9,H09,8000,synthemax_PFA
