cell_line,row,column,well,seeding_density,condition
A-673,C,3,C03,1000,synthemax
A-673,D,3,D03,1000,synthemax
SKNMC,E,3,E03,1000,synthemax
SKNMC,F,3,F03,1000,synthemax
CHP-212,G,3,G03,1000,synthemax
CHP-212,H,3,H03,1000,synthemax
NB-1,I,3,I03,1000,synthemax
NB-1,J,3,J03,1000,synthemax
KPNYN,K,3,K03,1000,synthemax
KPNYN,L,3,L03,1000,synthemax
SHSY5Y,M,3,M03,1000,synthemax
SHSY5Y,N,3,N03,1000,synthemax
U2-OS,O,3,O03,1000,synthemax
U2-OS,P,3,P03,1000,synthemax
A-673,C,4,C04,1000,synthemax
A-673,D,4,D04,1000,synthemax
SKNMC,E,4,E04,1000,synthemax
SKNMC,F,4,F04,1000,synthemax
CHP-212,G,4,G04,1000,synthemax
CHP-212,H,4,H04,1000,synthemax
NB-1,I,4,I04,1000,synthemax
NB-1,J,4,J04,1000,synthemax
KPNYN,K,4,K04,1000,synthemax
KPNYN,L,4,L04,1000,synthemax
SHSY5Y,M,4,M04,1000,synthemax
SHSY5Y,N,4,N04,1000,synthemax
U2-OS,O,4,O04,1000,synthemax
U2-OS,P,4,P04,1000,synthemax
A-673,C,5,C05,2000,synthemax
A-673,D,5,D05,2000,synthemax
SKNMC,E,5,E05,2000,synthemax
SKNMC,F,5,F05,2000,synthemax
CHP-212,G,5,G05,2000,synthemax
CHP-212,H,5,H05,2000,synthemax
NB-1,I,5,I05,2000,synthemax
NB-1,J,5,J05,2000,synthemax
KPNYN,K,5,K05,2000,synthemax
KPNYN,L,5,L05,2000,synthemax
SHSY5Y,M,5,M05,2000,synthemax
SHSY5Y,N,5,N05,2000,synthemax
U2-OS,O,5,O05,2000,synthemax
U2-OS,P,5,P05,2000,synthemax
A-673,C,6,C06,2000,synthemax
A-673,D,6,D06,2000,synthemax
SKNMC,E,6,E06,2000,synthemax
SKNMC,F,6,F06,2000,synthemax
CHP-212,G,6,G06,2000,synthemax
CHP-212,H,6,H06,2000,synthemax
NB-1,I,6,I06,2000,synthemax
NB-1,J,6,J06,2000,synthemax
KPNYN,K,6,K06,2000,synthemax
KPNYN,L,6,L06,2000,synthemax
SHSY5Y,M,6,M06,2000,synthemax
SHSY5Y,N,6,N06,2000,synthemax
U2-OS,O,6,O06,2000,synthemax
U2-OS,P,6,P06,2000,synthemax
A-673,C,7,C07,4000,synthemax
A-673,D,7,D07,4000,synthemax
SKNMC,E,7,E07,4000,synthemax
SKNMC,F,7,F07,4000,synthemax
CHP-212,G,7,G07,4000,synthemax
CHP-212,H,7,H07,4000,synthemax
NB-1,I,7,I07,4000,synthemax
NB-1,J,7,J07,4000,synthemax
KPNYN,K,7,K07,4000,synthemax
KPNYN,L,7,L07,4000,synthemax
SHSY5Y,M,7,M07,4000,synthemax
SHSY5Y,N,7,N07,4000,synthemax
U2-OS,O,7,O07,4000,synthemax
U2-OS,P,7,P07,4000,synthemax
A-673,C,8,C08,4000,synthemax
A-673,D,8,D08,4000,synthemax
SKNMC,E,8,E08,4000,synthemax
SKNMC,F,8,F08,4000,synthemax
CHP-212,G,8,G08,4000,synthemax
CHP-212,H,8,H08,4000,synthemax
NB-1,I,8,I08,4000,synthemax
NB-1,J,8,J08,4000,synthemax
KPNYN,K,8,K08,4000,synthemax
KPNYN,L,8,L08,4000,synthemax
SHSY5Y,M,8,M08,4000,synthemax
SHSY5Y,N,8,N08,4000,synthemax
U2-OS,O,8,O08,4000,synthemax
U2-OS,P,8,P08,4000,synthemax
A-673,C,9,C09,8000,synthemax
A-673,D,9,D09,8000,synthemax
SKNMC,E,9,E09,8000,synthemax
SKNMC,F,9,F09,8000,synthemax
CHP-212,G,9,G09,8000,synthemax
CHP-212,H,9,H09,8000,synthemax
NB-1,I,9,I09,8000,synthemax
NB-1,J,9,J09,8000,synthemax
KPNYN,K,9,K09,8000,synthemax
KPNYN,L,9,L09,8000,synthemax
SHSY5Y,M,9,M09,8000,synthemax
SHSY5Y,N,9,N09,8000,synthemax
U2-OS,O,9,O09,8000,synthemax
U2-OS,P,9,P09,8000,synthemax
A-673,C,10,C10,8000,synthemax
A-673,D,10,D10,8000,synthemax
SKNMC,E,10,E10,8000,synthemax
SKNMC,F,10,F10,8000,synthemax
CHP-212,G,10,G10,8000,synthemax
CHP-212,H,10,H10,8000,synthemax
NB-1,I,10,I10,8000,synthemax
NB-1,J,10,J10,8000,synthemax
KPNYN,K,10,K10,8000,synthemax
KPNYN,L,10,L10,8000,synthemax
SHSY5Y,M,10,M10,8000,synthemax
SHSY5Y,N,10,N10,8000,synthemax
U2-OS,O,10,O10,8000,synthemax
U2-OS,P,10,P10,8000,synthemax
A-673,C,11,C11,12000,synthemax
A-673,D,11,D11,12000,synthemax
SKNMC,E,11,E11,12000,synthemax
SKNMC,F,11,F11,12000,synthemax
CHP-212,G,11,G11,12000,synthemax
CHP-212,H,11,H11,12000,synthemax
NB-1,I,11,I11,12000,synthemax
NB-1,J,11,J11,12000,synthemax
KPNYN,K,11,K11,12000,synthemax
KPNYN,L,11,L11,12000,synthemax
SHSY5Y,M,11,M11,12000,synthemax
SHSY5Y,N,11,N11,12000,synthemax
U2-OS,O,11,O11,12000,synthemax
U2-OS,P,11,P11,12000,synthemax
A-673,C,12,C12,12000,synthemax
A-673,D,12,D12,12000,synthemax
SKNMC,E,12,E12,12000,synthemax
SKNMC,F,12,F12,12000,synthemax
CHP-212,G,12,G12,12000,synthemax
CHP-212,H,12,H12,12000,synthemax
NB-1,I,12,I12,12000,synthemax
NB-1,J,12,J12,12000,synthemax
KPNYN,K,12,K12,12000,synthemax
KPNYN,L,12,L12,12000,synthemax
SHSY5Y,M,12,M12,12000,synthemax
SHSY5Y,N,12,N12,12000,synthemax
U2-OS,O,12,O12,12000,synthemax
U2-OS,P,12,P12,12000,synthemax
SKNDZ,C,13,C13,1000,synthemax
SKNDZ,D,13,D13,1000,synthemax
CHLA-10,E,13,E13,1000,synthemax
CHLA-10,F,13,F13,1000,synthemax
CHLA-25,G,13,G13,1000,synthemax
CHLA-25,H,13,H13,1000,synthemax
CHLA-113,I,13,I13,1000,synthemax
CHLA-113,J,13,J13,1000,synthemax
CHLA-200,K,13,K13,1000,synthemax
CHLA-200,L,13,L13,1000,synthemax
CHLA-218,M,13,M13,1000,synthemax
CHLA-218,N,13,N13,1000,synthemax
U2-OS,O,13,O13,1000,synthemax
U2-OS,P,13,P13,1000,synthemax
SKNDZ,C,14,C14,1000,synthemax
SKNDZ,D,14,D14,1000,synthemax
CHLA-10,E,14,E14,1000,synthemax
CHLA-10,F,14,F14,1000,synthemax
CHLA-25,G,14,G14,1000,synthemax
CHLA-25,H,14,H14,1000,synthemax
CHLA-113,I,14,I14,1000,synthemax
CHLA-113,J,14,J14,1000,synthemax
CHLA-200,K,14,K14,1000,synthemax
CHLA-200,L,14,L14,1000,synthemax
CHLA-218,M,14,M14,1000,synthemax
CHLA-218,N,14,N14,1000,synthemax
U2-OS,O,14,O14,1000,synthemax
U2-OS,P,14,P14,1000,synthemax
SKNDZ,C,15,C15,2000,synthemax
SKNDZ,D,15,D15,2000,synthemax
CHLA-10,E,15,E15,2000,synthemax
CHLA-10,F,15,F15,2000,synthemax
CHLA-25,G,15,G15,2000,synthemax
CHLA-25,H,15,H15,2000,synthemax
CHLA-113,I,15,I15,2000,synthemax
CHLA-113,J,15,J15,2000,synthemax
CHLA-200,K,15,K15,2000,synthemax
CHLA-200,L,15,L15,2000,synthemax
