cell_line,row,column,well,seeding_density,condition
CHLA-218,M,15,M15,2000,synthemax
CHLA-218,N,15,N15,2000,synthemax
U2-OS,O,15,O15,2000,synthemax
U2-OS,P,15,P15,2000,synthemax
SKNDZ,C,16,C16,2000,synthemax
SKNDZ,D,16,D16,2000,synthemax
CHLA-10,E,16,E16,2000,synthemax
CHLA-10,F,16,F16,2000,synthemax
CHLA-25,G,16,G16,2000,synthemax
CHLA-25,H,16,H16,2000,synthemax
CHLA-113,I,16,I16,2000,synthemax
CHLA-113,J,16,J16,2000,synthemax
CHLA-200,K,16,K16,2000,synthemax
CHLA-200,L,16,L16,2000,synthemax
CHLA-218,M,16,M16,2000,synthemax
CHLA-218,N,16,N16,2000,synthemax
U2-OS,O,16,O16,2000,synthemax
U2-OS,P,16,P16,2000,synthemax
SKNDZ,C,17,C17,4000,synthemax
SKNDZ,D,17,D17,4000,synthemax
CHLA-10,E,17,E17,4000,synthemax
CHLA-10,F,17,F17,4000,synthemax
CHLA-25,G,17,G17,4000,synthemax
CHLA-25,H,17,H17,4000,synthemax
CHLA-113,I,17,I17,4000,synthemax
CHLA-113,J,17,J17,4000,synthemax
CHLA-200,K,17,K17,4000,synthemax
CHLA-200,L,17,L17,4000,synthemax
CHLA-218,M,17,M17,4000,synthemax
CHLA-218,N,17,N17,4000,synthemax
U2-OS,O,17,O17,4000,synthemax
U2-OS,P,17,P17,4000,synthemax
SKNDZ,C,18,C18,4000,synthemax
SKNDZ,D,18,D18,4000,synthemax
CHLA-10,E,18,E18,4000,synthemax
CHLA-10,F,18,F18,4000,synthemax
CHLA-25,G,18,G18,4000,synthemax
CHLA-25,H,18,H18,4000,synthemax
CHLA-113,I,18,I18,4000,synthemax
CHLA-113,J,18,J18,4000,synthemax
CHLA-200,K,18,K18,4000,synthemax
CHLA-200,L,18,L18,4000,synthemax
CHLA-218,M,18,M18,4000,synthemax
CHLA-218,N,18,N18,4000,synthemax
U2-OS,O,18,O18,4000,synthemax
U2-OS,P,18,P18,4000,synthemax
SKNDZ,C,19,C19,8000,synthemax
SKNDZ,D,19,D19,8000,synthemax
CHLA-10,E,19,E19,8000,synthemax
CHLA-10,F,19,F19,8000,synthemax
CHLA-25,G,19,G19,8000,synthemax
CHLA-25,H,19,H19,8000,synthemax
CHLA-113,I,19,I19,8000,synthemax
CHLA-113,J,19,J19,8000,synthemax
CHLA-200,K,19,K19,8000,synthemax
CHLA-200,L,19,L19,8000,synthemax
CHLA-218,M,19,M19,8000,synthemax
CHLA-218,N,19,N19,8000,synthemax
U2-OS,O,19,O19,8000,synthemax
U2-OS,P,19,P19,8000,synthemax
SKNDZ,C,20,C20,8000,synthemax
SKNDZ,D,20,D20,8000,synthemax
CHLA-10,E,20,E20,8000,synthemax
CHLA-10,F,20,F20,8000,synthemax
CHLA-25,G,20,G20,8000,synthemax
CHLA-25,H,20,H20,8000,synthemax
CHLA-113,I,20,I20,8000,synthemax
CHLA-113,J,20,J20,8000,synthemax
CHLA-200,K,20,K20,8000,synthemax
CHLA-200,L,20,L20,8000,synthemax
CHLA-218,M,20,M20,8000,synthemax
CHLA-218,N,20,N20,8000,synthemax
U2-OS,O,20,O20,8000,synthemax
U2-OS,P,20,P20,8000,synthemax
SKNDZ,C,21,C21,12000,synthemax
SKNDZ,D,21,D21,12000,synthemax
CHLA-10,E,21,E21,12000,synthemax
CHLA-10,F,21,F21,12000,synthemax
CHLA-25,G,21,G21,12000,synthemax
CHLA-25,H,21,H21,12000,synthemax
CHLA-113,I,21,I21,12000,synthemax
CHLA-113,J,21,J21,12000,synthemax
CHLA-200,K,21,K21,12000,synthemax
CHLA-200,L,21,L21,12000,synthemax
CHLA-218,M,21,M21,12000,synthemax
CHLA-218,N,21,N21,12000,synthemax
U2-OS,O,21,O21,12000,synthemax
U2-OS,P,21,P21,12000,synthemax
SKNDZ,C,22,C22,12000,synthemax
SKNDZ,D,22,D22,12000,synthemax
CHLA-10,E,22,E22,12000,synthemax
CHLA-10,F,22,F22,12000,synthemax
CHLA-25,G,22,G22,12000,synthemax
CHLA-25,H,22,H22,12000,synthemax
CHLA-113,I,22,I22,12000,synthemax
CHLA-113,J,22,J22,12000,synthemax
CHLA-200,K,22,K22,12000,synthemax
CHLA-200,L,22,L22,12000,synthemax
CHLA-218,M,22,M22,12000,synthemax
CHLA-218,N,22,N22,12000,synthemax
U2-OS,O,22,O22,12000,synthemax
U2-OS,P,22,P22,12000,synthemax
