cell_line,row,column,well,seeding_density,condition
PBT-04 FHTC,C,3,C03,1000,laminin
PBT-04 FHTC,C,4,C04,1000,laminin
PBT-04 FHTC,C,5,C05,2000,laminin
PBT-04 FHTC,C,6,C06,2000,laminin
PBT-04 FHTC,C,7,C07,4000,laminin
PBT-04 FHTC,C,8,C08,4000,laminin
PBT-04 FHTC,C,9,C09,8000,laminin
PBT-04 FHTC,C,10,C10,8000,laminin
PBT-04 FHTC,C,11,C11,12000,laminin
PBT-04 FHTC,C,12,C12,12000,laminin
PBT-04 FHTC,D,3,D03,1000,laminin
PBT-04 FHTC,D,4,D04,1000,laminin
PBT-04 FHTC,D,5,D05,2000,laminin
PBT-04 FHTC,D,6,D06,2000,laminin
PBT-04 FHTC,D,7,D07,4000,laminin
PBT-04 FHTC,D,8,D08,4000,laminin
PBT-04 FHTC,D,9,D09,8000,laminin
PBT-04 FHTC,D,10,D10,8000,laminin
PBT-04 FHTC,D,11,D11,12000,laminin
PBT-04 FHTC,D,12,D12,12000,laminin
ATRT-311 FHTC,E,13,E13,1000,laminin_PFA
ATRT-311 FHTC,E,14,E14,1000,laminin_PFA
ATRT-311 FHTC,E,15,E15,2000,laminin_PFA
ATRT-311 FHTC,E,16,E16,2000,laminin_PFA
ATRT-311 FHTC,E,17,E17,4000,laminin_PFA
ATRT-311 FHTC,E,18,E18,4000,laminin_PFA
ATRT-311 FHTC,E,19,E19,8000,laminin_PFA
ATRT-311 FHTC,E,20,E20,8000,laminin_PFA
ATRT-311 FHTC,E,21,E21,12000,laminin_PFA
ATRT-311 FHTC,E,22,E22,12000,laminin_PFA
ATRT-311 FHTC,F,13,F13,1000,laminin_PFA
ATRT-311 FHTC,F,14,F14,1000,laminin_PFA
ATRT-311 FHTC,F,15,F15,2000,laminin_PFA
ATRT-311 FHTC,F,16,F16,2000,laminin_PFA
ATRT-311 FHTC,F,17,F17,4000,laminin_PFA
ATRT-311 FHTC,F,18,F18,4000,laminin_PFA
ATRT-311 FHTC,F,19,F19,8000,laminin_PFA
ATRT-311 FHTC,F,20,F20,8000,laminin_PFA
ATRT-311 FHTC,F,21,F21,12000,laminin_PFA
ATRT-311 FHTC,F,22,F22,12000,laminin_PFA
EPD-210 FHTC,G,13,G13,1000,laminin_PFA
EPD-210 FHTC,G,14,G14,1000,laminin_PFA
EPD-210 FHTC,G,15,G15,2000,laminin_PFA
EPD-210 FHTC,G,16,G16,2000,laminin_PFA
EPD-210 FHTC,G,17,G17,4000,laminin_PFA
EPD-210 FHTC,G,18,G18,4000,laminin_PFA
EPD-210 FHTC,G,19,G19,8000,laminin_PFA
EPD-210 FHTC,G,20,G20,8000,laminin_PFA
EPD-210 FHTC,G,21,G21,12000,laminin_PFA
EPD-210 FHTC,G,22,G22,12000,laminin_PFA
EPD-210 FHTC,H,13,H13,1000,laminin_PFA
EPD-210 FHTC,H,14,H14,1000,laminin_PFA
EPD-210 FHTC,H,15,H15,2000,laminin_PFA
EPD-210 FHTC,H,16,H16,2000,laminin_PFA
EPD-210 FHTC,H,17,H17,4000,laminin_PFA
EPD-210 FHTC,H,18,H18,4000,laminin_PFA
EPD-210 FHTC,H,19,H19,8000,laminin_PFA
EPD-210 FHTC,H,20,H20,8000,laminin_PFA
EPD-210 FHTC,H,21,H21,12000,laminin_PFA
EPD-210 FHTC,H,22,H22,12000,laminin_PFA
U2-OS,I,3,I03,1000,standard
U2-OS,I,4,I04,1000,standard
U2-OS,I,5,I05,2000,standard
U2-OS,I,6,I06,2000,standard
U2-OS,I,7,I07,4000,standard
U2-OS,I,8,I08,4000,standard
U2-OS,I,9,I09,8000,standard
U2-OS,I,10,I10,8000,standard
