cell_line,row,column,well,seeding_density,condition
D283,C,3,C03,1000,synthemax
D283,C,4,C04,1000,synthemax
D283,C,5,C05,2000,synthemax
D283,C,6,C06,2000,synthemax
D283,C,7,C07,4000,synthemax
D283,C,8,C08,4000,synthemax
D283,C,9,C09,8000,synthemax
D283,C,10,C10,8000,synthemax
D283,C,11,C11,12000,synthemax
D283,C,12,C12,12000,synthemax
CHLA-258,C,13,C13,1000,synthemax
CHLA-258,C,14,C14,1000,synthemax
CHLA-258,C,15,C15,2000,synthemax
CHLA-258,C,16,C16,2000,synthemax
CHLA-258,C,17,C17,4000,synthemax
CHLA-258,C,18,C18,4000,synthemax
CHLA-258,C,19,C19,8000,synthemax
CHLA-258,C,20,C20,8000,synthemax
CHLA-258,C,21,C21,12000,synthemax
CHLA-258,C,22,C22,12000,synthemax
D283,D,3,D03,1000,synthemax
D283,D,4,D04,1000,synthemax
D283,D,5,D05,2000,synthemax
D283,D,6,D06,2000,synthemax
D283,D,7,D07,4000,synthemax
D283,D,8,D08,4000,synthemax
D283,D,9,D09,8000,synthemax
D283,D,10,D10,8000,synthemax
D283,D,11,D11,12000,synthemax
D283,D,12,D12,12000,synthemax
CHLA-258,D,13,D13,1000,synthemax
CHLA-258,D,14,D14,1000,synthemax
CHLA-258,D,15,D15,2000,synthemax
CHLA-258,D,16,D16,2000,synthemax
CHLA-258,D,17,D17,4000,synthemax
CHLA-258,D,18,D18,4000,synthemax
CHLA-258,D,19,D19,8000,synthemax
CHLA-258,D,20,D20,8000,synthemax
CHLA-258,D,21,D21,12000,synthemax
CHLA-258,D,22,D22,12000,synthemax
CHLA-262,E,3,E03,1000,synthemax
CHLA-262,E,4,E04,1000,synthemax
CHLA-262,E,5,E05,2000,synthemax
CHLA-262,E,6,E06,2000,synthemax
CHLA-262,E,7,E07,4000,synthemax
CHLA-262,E,8,E08,4000,synthemax
CHLA-262,E,9,E09,8000,synthemax
CHLA-262,E,10,E10,8000,synthemax
CHLA-262,E,11,E11,12000,synthemax
CHLA-262,E,12,E12,12000,synthemax
COG-W-408,E,13,E13,1000,synthemax
COG-W-408,E,14,E14,1000,synthemax
COG-W-408,E,15,E15,2000,synthemax
COG-W-408,E,16,E16,2000,synthemax
COG-W-408,E,17,E17,4000,synthemax
COG-W-408,E,18,E18,4000,synthemax
COG-W-408,E,19,E19,8000,synthemax
COG-W-408,E,20,E20,8000,synthemax
COG-W-408,E,21,E21,12000,synthemax
COG-W-408,E,22,E22,12000,synthemax
CHLA-262,F,3,F03,1000,synthemax
CHLA-262,F,4,F04,1000,synthemax
CHLA-262,F,5,F05,2000,synthemax
CHLA-262,F,6,F06,2000,synthemax
CHLA-262,F,7,F07,4000,synthemax
CHLA-262,F,8,F08,4000,synthemax
CHLA-262,F,9,F09,8000,synthemax
CHLA-262,F,10,F10,8000,synthemax
CHLA-262,F,11,F11,12000,synthemax
CHLA-262,F,12,F12,12000,synthemax
COG-W-408,F,13,F13,1000,synthemax
COG-W-408,F,14,F14,1000,synthemax
COG-W-408,F,15,F15,2000,synthemax
COG-W-408,F,16,F16,2000,synthemax
COG-W-408,F,17,F17,4000,synthemax
COG-W-408,F,18,F18,4000,synthemax
COG-W-408,F,19,F19,8000,synthemax
COG-W-408,F,20,F20,8000,synthemax
COG-W-408,F,21,F21,12000,synthemax
COG-W-408,F,22,F22,12000,synthemax
CHLA-194,G,3,G03,1000,synthemax
CHLA-194,G,4,G04,1000,synthemax
CHLA-194,G,5,G05,2000,synthemax
CHLA-194,G,6,G06,2000,synthemax
CHLA-194,G,7,G07,4000,synthemax
CHLA-194,G,8,G08,4000,synthemax
CHLA-194,G,9,G09,8000,synthemax
CHLA-194,G,10,G10,8000,synthemax
CHLA-194,G,11,G11,12000,synthemax
CHLA-194,G,12,G12,12000,synthemax
U-2OS,G,13,G13,1000,synthemax
U-2OS,G,14,G14,1000,synthemax
U-2OS,G,15,G15,2000,synthemax
U-2OS,G,16,G16,2000,synthemax
U-2OS,G,17,G17,4000,synthemax
U-2OS,G,18,G18,4000,synthemax
U-2OS,G,19,G19,8000,synthemax
U-2OS,G,20,G20,8000,synthemax
U-2OS,G,21,G21,12000,synthemax
U-2OS,G,22,G22,12000,synthemax
CHLA-194,H,3,H03,1000,synthemax
CHLA-194,H,4,H04,1000,synthemax
CHLA-194,H,5,H05,2000,synthemax
CHLA-194,H,6,H06,2000,synthemax
CHLA-194,H,7,H07,4000,synthemax
CHLA-194,H,8,H08,4000,synthemax
CHLA-194,H,9,H09,8000,synthemax
CHLA-194,H,10,H10,8000,synthemax
CHLA-194,H,11,H11,12000,synthemax
CHLA-194,H,12,H12,12000,synthemax
U-2OS,H,13,H13,1000,synthemax
U-2OS,H,14,H14,1000,synthemax
U-2OS,H,15,H15,2000,synthemax
U-2OS,H,16,H16,2000,synthemax
U-2OS,H,17,H17,4000,synthemax
U-2OS,H,18,H18,4000,synthemax
U-2OS,H,19,H19,8000,synthemax
U-2OS,H,20,H20,8000,synthemax
U-2OS,H,21,H21,12000,synthemax
U-2OS,H,22,H22,12000,synthemax
CHLA-203,I,3,I03,1000,synthemax
CHLA-203,I,4,I04,1000,synthemax
CHLA-203,I,5,I05,2000,synthemax
CHLA-203,I,6,I06,2000,synthemax
CHLA-203,I,7,I07,4000,synthemax
CHLA-203,I,8,I08,4000,synthemax
CHLA-203,I,9,I09,8000,synthemax
CHLA-203,I,10,I10,8000,synthemax
CHLA-203,I,11,I11,12000,synthemax
CHLA-203,I,12,I12,12000,synthemax
CHLA-203,J,3,J03,1000,synthemax
CHLA-203,J,4,J04,1000,synthemax
CHLA-203,J,5,J05,2000,synthemax
CHLA-203,J,6,J06,2000,synthemax
CHLA-203,J,7,J07,4000,synthemax
CHLA-203,J,8,J08,4000,synthemax
CHLA-203,J,9,J09,8000,synthemax
CHLA-203,J,10,J10,8000,synthemax
CHLA-203,J,11,J11,12000,synthemax
CHLA-203,J,12,J12,12000,synthemax
COG-AR-397hnb,K,3,K03,1000,synthemax
COG-AR-397hnb,K,4,K04,1000,synthemax
COG-AR-397hnb,K,5,K05,2000,synthemax
COG-AR-397hnb,K,6,K06,2000,synthemax
COG-AR-397hnb,K,7,K07,4000,synthemax
COG-AR-397hnb,K,8,K08,4000,synthemax
COG-AR-397hnb,K,9,K09,8000,synthemax
COG-AR-397hnb,K,10,K10,8000,synthemax
COG-AR-397hnb,K,11,K11,12000,synthemax
COG-AR-397hnb,K,12,K12,12000,synthemax
COG-AR-397hnb,L,3,L03,1000,synthemax
COG-AR-397hnb,L,4,L04,1000,synthemax
COG-AR-397hnb,L,5,L05,2000,synthemax
COG-AR-397hnb,L,6,L06,2000,synthemax
COG-AR-397hnb,L,7,L07,4000,synthemax
COG-AR-397hnb,L,8,L08,4000,synthemax
COG-AR-397hnb,L,9,L09,8000,synthemax
COG-AR-397hnb,L,10,L10,8000,synthemax
COG-AR-397hnb,L,11,L11,12000,synthemax
COG-AR-397hnb,L,12,L12,12000,synthemax
U-2OS,M,3,M03,1000,synthemax
U-2OS,M,4,M04,1000,synthemax
U-2OS,M,5,M05,2000,synthemax
U-2OS,M,6,M06,2000,synthemax
U-2OS,M,7,M07,4000,synthemax
U-2OS,M,8,M08,4000,synthemax
U-2OS,M,9,M09,8000,synthemax
U-2OS,M,10,M10,8000,synthemax
U-2OS,M,11,M11,12000,synthemax
U-2OS,M,12,M12,12000,synthemax
U-2OS,N,3,N03,1000,synthemax
U-2OS,N,4,N04,1000,synthemax
U-2OS,N,5,N05,2000,synthemax
U-2OS,N,6,N06,2000,synthemax
U-2OS,N,7,N07,4000,synthemax
U-2OS,N,8,N08,4000,synthemax
U-2OS,N,9,N09,8000,synthemax
U-2OS,N,10,N10,8000,synthemax
U-2OS,N,11,N11,12000,synthemax
U-2OS,N,12,N12,12000,synthemax
