FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigDNA,PathName_OrigDNA,FileName_OrigRNA,PathName_OrigRNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_ChannelID,Metadata_Col,Metadata_FieldID,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_Reimaged
r13c04f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,r13c04f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,r13c04f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,r13c04f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,r13c04f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,r13c04f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240722_KNS-42_Re-imaged/BR00143981__2024-07-22T16_26_42-Measurement 4/Images,BR00143981,M04,1,0.134553805,6,4,1,1,0.0,0.0,-2e-06,13,True
r04c07f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c07f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c07f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c07f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c07f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c07f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D07,5,0.134527996,6,7,5,1,0.000645814,0.0,-2e-06,4,True
r04c06f06p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c06f06p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c06f06p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c06f06p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c06f06p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c06f06p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D06,6,0.134548903,6,6,6,1,-0.000645814,0.0,-2e-06,4,True
r04c08f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c08f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c08f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c08f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c08f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c08f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D08,1,0.134515405,6,8,1,1,0.0,0.0,-2e-06,4,True
r04c05f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c05f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c05f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c05f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c05f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c05f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D05,1,0.134564593,6,5,1,1,0.0,0.0,-2e-06,4,True
r04c04f02p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c04f02p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c04f02p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c04f02p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c04f02p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c04f02p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D04,2,0.134584904,6,4,2,1,-0.000645814,0.000645814,-2e-06,4,True
r04c03f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c03f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c03f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c03f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c03f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c03f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D03,9,0.134599701,6,3,9,1,0.000645814,-0.000645814,-2e-06,4,True
r04c12f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c12f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c12f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c12f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c12f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c12f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D12,4,0.134465694,6,12,4,1,0.000645814,0.000645814,-2e-06,4,True
r04c11f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c11f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c11f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c11f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c11f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,r04c11f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_KP-N-YN_Re-imaged/BR00143981__2024-07-17T20_48_04-Measurement 2/Images,BR00143981,D11,5,0.134475097,6,11,5,1,0.000645814,0.0,-2e-06,4,True
r11c03f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,r11c03f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,r11c03f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,r11c03f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,r11c03f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,r11c03f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240801_SK-N-AS_Re-imaged/BR00143981__2024-08-01T10_28_41-Measurement 5/Images,BR00143981,K03,1,0.134579405,6,3,1,1,0.0,0.0,-5e-06,11,True
